ids	values
9606.ENSP00000356925	0.0015298316
9606.ENSP00000233954	0.0015315688
9606.ENSP00000289388	0.0015316396
9606.ENSP00000501053	0.001538523
9606.ENSP00000359583	0.0015441562
9606.ENSP00000430955	0.0015711922
9606.ENSP00000458018	0.0015787333
9606.ENSP00000386380	0.0016217337
9606.ENSP00000360777	0.0016414053
9606.ENSP00000293328	0.0016671859
9606.ENSP00000199389	0.0016756525
9606.ENSP00000377311	0.0016785307
9606.ENSP00000434552	0.001684377
9606.ENSP00000397843	0.0017092482
9606.ENSP00000368030	0.0017563041
9606.ENSP00000383364	0.0017672658
9606.ENSP00000263025	0.0017931735
9606.ENSP00000490537	0.0017940571
9606.ENSP00000322229	0.0018047373
9606.ENSP00000264012	0.0018159061
9606.ENSP00000436897	0.0018160191
9606.ENSP00000478591	0.0018222291
9606.ENSP00000317895	0.0018268083
9606.ENSP00000387211	0.0018281795
9606.ENSP00000491655	0.0018537951
9606.ENSP00000225916	0.0018943663
9606.ENSP00000355991	0.0019024953
9606.ENSP00000351338	0.0019478297
9606.ENSP00000002829	0.0019600196
9606.ENSP00000296871	0.0020362772
9606.ENSP00000246229	0.0020579607
9606.ENSP00000377245	0.0020667082
9606.ENSP00000358921	0.0020824037
9606.ENSP00000266037	0.0020922357
9606.ENSP00000446335	0.0021093441
9606.ENSP00000263997	0.0021266607
9606.ENSP00000304903	0.0021517912
9606.ENSP00000256646	0.0021698906
9606.ENSP00000232375	0.0022046384
9606.ENSP00000362888	0.002220669
9606.ENSP00000377224	0.002223368
9606.ENSP00000386834	0.0022434061
9606.ENSP00000330959	0.0022539645
9606.ENSP00000388850	0.0022547
9606.ENSP00000369134	0.0022637
9606.ENSP00000308193	0.0022838563
9606.ENSP00000351697	0.0022980843
9606.ENSP00000350364	0.0023282736
9606.ENSP00000460547	0.0023901768
9606.ENSP00000496129	0.0023966988
9606.ENSP00000305263	0.002407637
9606.ENSP00000264501	0.0024614988
9606.ENSP00000303706	0.0025187607
9606.ENSP00000356030	0.002586615
9606.ENSP00000384999	0.0026027865
9606.ENSP00000328547	0.0026404916
9606.ENSP00000331727	0.0026602019
9606.ENSP00000264661	0.0026632082
9606.ENSP00000324511	0.002672172
9606.ENSP00000384363	0.0026764385
9606.ENSP00000324196	0.0026980615
9606.ENSP00000497236	0.0027092
9606.ENSP00000458977	0.0027645372
9606.ENSP00000354111	0.0027742037
9606.ENSP00000259883	0.0027851628
9606.ENSP00000486230	0.0027959652
9606.ENSP00000356331	0.0028113872
9606.ENSP00000268184	0.0028240194
9606.ENSP00000385579	0.00287461
9606.ENSP00000251642	0.0028751886
9606.ENSP00000353375	0.0028777085
