protein	pval
9606.ENSP00000296545	0.0012826786
9606.ENSP00000229134	0.0012845746
9606.ENSP00000416338	0.0013085488
9606.ENSP00000478305	0.0013090611
9606.ENSP00000377546	0.0013096238
9606.ENSP00000327459	0.0013097946
9606.ENSP00000455169	0.0013115553
9606.ENSP00000244537	0.0013130251
9606.ENSP00000309953	0.0013350281
9606.ENSP00000227507	0.0013358468
9606.ENSP00000357759	0.0013390717
9606.ENSP00000262428	0.0013632746
9606.ENSP00000494175	0.0013704535
9606.ENSP00000325917	0.0013848104
9606.ENSP00000377668	0.0013887044
9606.ENSP00000377616	0.0013943098
9606.ENSP00000461879	0.001395
9606.ENSP00000364978	0.0014016776
9606.ENSP00000301175	0.0014092
9606.ENSP00000499044	0.0014374631
9606.ENSP00000348043	0.0014415763
9606.ENSP00000358035	0.0014419431
9606.ENSP00000401010	0.0014421165
9606.ENSP00000363680	0.0014797657
9606.ENSP00000005178	0.0014813826
9606.ENSP00000308815	0.001485679
9606.ENSP00000271843	0.001507614
9606.ENSP00000364265	0.001508614
9606.ENSP00000440542	0.0015196381
9606.ENSP00000328061	0.0015271
9606.ENSP00000265602	0.001542271
9606.ENSP00000376678	0.0015498709
9606.ENSP00000331532	0.0015524598
9606.ENSP00000280614	0.0015540585
9606.ENSP00000365201	0.0015545739
9606.ENSP00000494468	0.0015595407
9606.ENSP00000259989	0.0015730739
9606.ENSP00000304440	0.0015807773
9606.ENSP00000457205	0.001615043
9606.ENSP00000285018	0.0016251322
9606.ENSP00000290573	0.0016252222
9606.ENSP00000300101	0.0016315636
9606.ENSP00000344233	0.0016335543
9606.ENSP00000378702	0.0016592167
9606.ENSP00000222248	0.001686586
9606.ENSP00000376445	0.0017264124
9606.ENSP00000271638	0.0017296599
9606.ENSP00000301263	0.0018165649
9606.ENSP00000430271	0.0018232
9606.ENSP00000376436	0.0018362734
9606.ENSP00000365402	0.0018686359
9606.ENSP00000301399	0.0018709747
9606.ENSP00000278840	0.0018908
9606.ENSP00000344545	0.0018967
9606.ENSP00000295030	0.0019210414
9606.ENSP00000357564	0.0019285487
9606.ENSP00000315554	0.0019316
9606.ENSP00000437082	0.0019890703
9606.ENSP00000358072	0.0020138272
9606.ENSP00000258739	0.002022177
9606.ENSP00000435289	0.002025685
9606.ENSP00000402758	0.0020378327
9606.ENSP00000497720	0.002099238
9606.ENSP00000346990	0.002172213
9606.ENSP00000497256	0.002187727
9606.ENSP00000268122	0.0022122243
9606.ENSP00000222032	0.0022193464
9606.ENSP00000263341	0.0022514884
9606.ENSP00000309913	0.0022540733
9606.ENSP00000312671	0.0023056923
9606.ENSP00000359607	0.0023188095
9606.ENSP00000361850	0.00233086
9606.ENSP00000267101	0.0024027068
9606.ENSP00000315013	0.002411607
9606.ENSP00000399518	0.0024452608
9606.ENSP00000254691	0.0024616073
9606.ENSP00000469958	0.0024745283
9606.ENSP00000318982	0.002498111
9606.ENSP00000364985	0.0024988852
9606.ENSP00000306754	0.0025110967
9606.ENSP00000423067	0.0025287347
9606.ENSP00000385579	0.0025397243
9606.ENSP00000332413	0.0026404725
9606.ENSP00000307369	0.002641723
9606.ENSP00000369419	0.0026542076
9606.ENSP00000311398	0.0026872
9606.ENSP00000263339	0.0026885427
9606.ENSP00000311857	0.0027560298
9606.ENSP00000357733	0.0027578215
9606.ENSP00000358045	0.0027719487
9606.ENSP00000377003	0.002870015
9606.ENSP00000271628	0.0028879752
9606.ENSP00000283206	0.0028975334
9606.ENSP00000379282	0.0029273878
9606.ENSP00000219244	0.0029762983
9606.ENSP00000328818	0.0029837727
9606.ENSP00000498469	0.003003594
9606.ENSP00000228928	0.003013226
9606.ENSP00000358142	0.0030312703
9606.ENSP00000311899	0.0030620412
9606.ENSP00000480091	0.0030827
9606.ENSP00000263578	0.0031168414
9606.ENSP00000316329	0.0031337512
9606.ENSP00000479536	0.003169238
9606.ENSP00000418767	0.003182685
9606.ENSP00000449535	0.0032131197
9606.ENSP00000462729	0.0032275377
9606.ENSP00000314023	0.0032666498
9606.ENSP00000266068	0.0032720023
9606.ENSP00000435835	0.0032902255
9606.ENSP00000492367	0.0033122
9606.ENSP00000286639	0.003316682
9606.ENSP00000438209	0.0033635865
9606.ENSP00000320295	0.0033974093
9606.ENSP00000384763	0.0034175543
9606.ENSP00000357125	0.0034307
9606.ENSP00000401477	0.0034422183
9606.ENSP00000357465	0.0034459704
9606.ENSP00000333097	0.0035936
9606.ENSP00000480492	0.0035982
9606.ENSP00000350552	0.0036106
9606.ENSP00000258526	0.0036119248
9606.ENSP00000363142	0.003614139
9606.ENSP00000284240	0.0037336415
9606.ENSP00000329932	0.0037389519
9606.ENSP00000243440	0.0037761044
9606.ENSP00000415743	0.0037771566
9606.ENSP00000317997	0.0038249786
9606.ENSP00000298317	0.003825964
9606.ENSP00000376048	0.0038278
9606.ENSP00000357106	0.0038379198
9606.ENSP00000255499	0.003875988
9606.ENSP00000296233	0.0038831863
9606.ENSP00000311010	0.003913211
9606.ENSP00000326737	0.0039218524
9606.ENSP00000268231	0.0039866
9606.ENSP00000264734	0.004014096
9606.ENSP00000496832	0.0040508434
9606.ENSP00000345374	0.0040692
9606.ENSP00000236826	0.0040768
9606.ENSP00000274276	0.004083593
9606.ENSP00000359339	0.0041413195
9606.ENSP00000268876	0.0041534
9606.ENSP00000349884	0.0041534
9606.ENSP00000357409	0.004166803
9606.ENSP00000282466	0.00418434
9606.ENSP00000323588	0.0041957493
9606.ENSP00000321026	0.004225068
9606.ENSP00000355077	0.004353619
9606.ENSP00000498577	0.0043882797
9606.ENSP00000354733	0.0044175982
9606.ENSP00000246657	0.0044445116
9606.ENSP00000285670	0.0044936165
9606.ENSP00000478754	0.0045589474
9606.ENSP00000438024	0.0045722704
9606.ENSP00000361027	0.004579962
9606.ENSP00000342109	0.0045887106
9606.ENSP00000362616	0.0046352283
9606.ENSP00000309161	0.004665705
9606.ENSP00000241337	0.004667207
9606.ENSP00000382330	0.0046700216
9606.ENSP00000259030	0.004701664
9606.ENSP00000428876	0.004754499
9606.ENSP00000469391	0.004779321
9606.ENSP00000324651	0.004867784
9606.ENSP00000445002	0.0048853
9606.ENSP00000380697	0.0049233013
9606.ENSP00000441410	0.0049239188
9606.ENSP00000322229	0.004928957
9606.ENSP00000256495	0.0049306354
9606.ENSP00000385470	0.004960155
9606.ENSP00000393566	0.0049844175
9606.ENSP00000292147	0.0050635957
9606.ENSP00000377789	0.005120557
9606.ENSP00000421172	0.0051350542
9606.ENSP00000202625	0.005136102
9606.ENSP00000366387	0.005158901
9606.ENSP00000493121	0.005159935
9606.ENSP00000380247	0.0051753065
9606.ENSP00000496848	0.005194613
9606.ENSP00000262752	0.005197362
9606.ENSP00000295727	0.0052812
9606.ENSP00000306099	0.0052896
9606.ENSP00000401867	0.005304809
9606.ENSP00000273395	0.005315896
9606.ENSP00000324890	0.0053314785
9606.ENSP00000270570	0.0053337947
9606.ENSP00000328023	0.0053432197
9606.ENSP00000361087	0.005363089
9606.ENSP00000197268	0.005397797
9606.ENSP00000496577	0.005403309
9606.ENSP00000304376	0.0054194094
9606.ENSP00000377036	0.0054323105
9606.ENSP00000346206	0.0054360833
9606.ENSP00000342560	0.0054432517
9606.ENSP00000339804	0.0054593957
9606.ENSP00000333184	0.0054799
9606.ENSP00000233710	0.005498415
9606.ENSP00000302114	0.005505756
9606.ENSP00000418194	0.005525344
9606.ENSP00000266557	0.005591838
9606.ENSP00000356037	0.005602
9606.ENSP00000424571	0.0056253094
9606.ENSP00000482304	0.0056359
9606.ENSP00000470801	0.0056913462
9606.ENSP00000342235	0.0056993193
9606.ENSP00000284274	0.005699912
9606.ENSP00000215885	0.0057018367
9606.ENSP00000337103	0.005730946
9606.ENSP00000298048	0.0057379613
9606.ENSP00000352414	0.00576876
9606.ENSP00000348639	0.005797935
9606.ENSP00000320318	0.005817903
9606.ENSP00000371859	0.005917601
9606.ENSP00000336693	0.0059222886
9606.ENSP00000350425	0.005928
9606.ENSP00000302537	0.0060616005
9606.ENSP00000227667	0.0060862
9606.ENSP00000380958	0.0061226627
9606.ENSP00000352252	0.0061452393
9606.ENSP00000371790	0.0061477143
9606.ENSP00000360526	0.0061535356
9606.ENSP00000396045	0.0062262225
9606.ENSP00000266503	0.0064825197
9606.ENSP00000352673	0.0064973766
9606.ENSP00000355467	0.006508678
9606.ENSP00000275016	0.00655833
9606.ENSP00000312027	0.006561458
9606.ENSP00000242315	0.006569094
9606.ENSP00000414378	0.006607117
9606.ENSP00000359795	0.0066322964
9606.ENSP00000481824	0.0066379
9606.ENSP00000295408	0.0066636116
9606.ENSP00000363993	0.006704252
9606.ENSP00000299155	0.006737878
9606.ENSP00000369729	0.0067393
9606.ENSP00000454623	0.006750227
9606.ENSP00000479955	0.006760109
