protein	pval
9606.ENSP00000468782	5.5058286e-22
9606.ENSP00000471735	5.659396e-22
9606.ENSP00000490726	5.683199e-22
9606.ENSP00000257527	5.8093636e-22
9606.ENSP00000403644	5.858525e-22
9606.ENSP00000280606	5.8593357e-22
9606.ENSP00000333769	5.958523e-22
9606.ENSP00000385057	6.025652e-22
9606.ENSP00000382783	6.1059606e-22
9606.ENSP00000296529	6.1518286e-22
9606.ENSP00000215904	6.368612e-22
9606.ENSP00000359871	6.9571993e-22
9606.ENSP00000341815	7.1819396e-22
9606.ENSP00000223095	7.2302245e-22
9606.ENSP00000325527	7.6867894e-22
9606.ENSP00000457991	7.6982666e-22
9606.ENSP00000311648	8.1135124e-22
9606.ENSP00000452414	8.3762463e-22
9606.ENSP00000321326	8.629661e-22
9606.ENSP00000309186	8.679922e-22
9606.ENSP00000261441	8.804268e-22
9606.ENSP00000297268	9.018263e-22
9606.ENSP00000356975	9.403724e-22
9606.ENSP00000278407	9.67749e-22
9606.ENSP00000301454	1.0527291e-21
9606.ENSP00000306788	1.0963909e-21
9606.ENSP00000223023	1.1074775e-21
9606.ENSP00000332404	1.1354268e-21
9606.ENSP00000454012	1.1623087e-21
9606.ENSP00000361562	1.2298723e-21
9606.ENSP00000371729	1.242417e-21
9606.ENSP00000425166	1.3674099e-21
9606.ENSP00000265689	1.4211132e-21
9606.ENSP00000360366	1.4219939e-21
9606.ENSP00000415556	1.4340619e-21
9606.ENSP00000445772	1.4630162e-21
9606.ENSP00000359504	1.5034317e-21
9606.ENSP00000234313	1.5475546e-21
9606.ENSP00000219022	1.7451986e-21
9606.ENSP00000267859	1.7576251e-21
